Region,Station
Seomjin-main_down,46
Seomjin-main_down,45.8
Seomjin-main_down,45.6
Seomjin-main_down,45.4
Seomjin-main_down,45.2
Seomjin-main_down,45
Seomjin-main_down,44.8
Seomjin-main_down,44.6
Seomjin-main_down,44.4
Seomjin-main_down,44.2
Seomjin-main_down,44
Seomjin-main_down,43.8
Seomjin-main_down,43.6
Seomjin-main_down,43.4
Seomjin-main_down,43.2
Seomjin-main_down,43
Seomjin-main_down,42.8
Seomjin-main_down,42.6
Seomjin-main_down,42.526
Seomjin-main_down,42.4
Seomjin-main_down,42.2
Seomjin-main_down,42
Seomjin-main_down,41.8
Seomjin-main_down,41.614
Seomjin-main_down,41.4
Seomjin-main_down,41.2
Seomjin-main_down,41
Seomjin-main_down,40.8
Seomjin-main_down,40.6
Seomjin-main_down,40.4
Seomjin-main_down,40.2
Seomjin-main_down,40
Seomjin-main_down,39.8
Seomjin-main_down,39.6
Seomjin-main_down,39.4
Seomjin-main_down,39.2
Seomjin-main_down,39
Seomjin-main_down,38.8
Seomjin-main_down,38.6
Seomjin-main_down,38.4
Seomjin-main_down,38.2
Seomjin-main_down,38
Seomjin-main_down,37.8
Seomjin-main_down,37.6
Seomjin-main_down,37.4
Seomjin-main_down,37.2
Seomjin-main_down,37
Seomjin-main_down,36.948
Seomjin-main_down,36.8
Seomjin-main_down,36.6
Seomjin-main_down,36.4
Seomjin-main_down,36.2
Seomjin-main_down,36
Seomjin-main_down,35.8
Seomjin-main_down,35.6
Seomjin-main_down,35.4
Seomjin-main_down,35.2
Seomjin-main_down,35
Seomjin-main_down,34.858
Seomjin-main_down,34.8
Seomjin-main_down,34.6
Seomjin-main_down,34.4
Seomjin-main_down,34.2
Seomjin-main_down,34
Seomjin-main_down,33.8
Seomjin-main_down,33.5
Seomjin-main_down,33.39
Seomjin-main_down,33
Seomjin-main_down,32.942
Seomjin-main_down,32.5
Seomjin-main_down,32
Seomjin-main_down,31.5
Seomjin-main_down,31
Seomjin-main_down,30.5
Seomjin-main_down,30
Seomjin-main_down,29.5
Seomjin-main_down,29
Seomjin-main_down,28.5
Seomjin-main_down,28
Seomjin-main_down,27.5
Seomjin-main_down,27
Seomjin-main_down,26.5
Seomjin-main_down,26
Seomjin-main_down,25.5
Seomjin-main_down,25
Seomjin-main_down,24.5
Seomjin-main_down,24
Seomjin-main_down,23.5
Seomjin-main_down,23
Seomjin-main_down,22.5
Seomjin-main_down,22
Seomjin-main_down,21.679
Seomjin-main_down,21.5
Seomjin-main_down,21
Seomjin-main_down,20.5
Seomjin-main_down,20
Seomjin-main_down,19.926
Seomjin-main_down,19.5
Seomjin-main_down,19
Seomjin-main_down,18.5
Seomjin-main_down,18
Seomjin-main_down,17.5
Seomjin-main_down,17
