River,Reach,Station,MAX_WL
Seomjin,main,84.000,60.589523
Seomjin,main,83.800,60.209686
Seomjin,main,83.600,59.764874
Seomjin,main,83.400,59.343575
Seomjin,main,83.200,59.055950
Seomjin,main,83.000,58.755005
Seomjin,main,82.800,58.348114
Seomjin,main,82.737,58.079052
Seomjin,main,82.600,57.983658
Seomjin,main,82.400,57.633152
Seomjin,main,82.200,57.163937
Seomjin,main,82.000,56.723183
Seomjin,main,81.800,56.280350
Seomjin,main,81.600,56.032692
Seomjin,main,81.400,55.854546
Seomjin,main,81.200,55.643814
Seomjin,main,81.092,55.401657
Seomjin,main,81.000,55.234451
Seomjin,main,80.800,55.123386
Seomjin,main,80.677,55.060432
Seomjin,main,80.600,55.024475
Seomjin,main,80.400,54.937393
Seomjin,main,80.200,54.793671
Seomjin,main,80.000,54.629768
Seomjin,main,79.880,54.552441
Seomjin,main,79.800,54.528057
Seomjin,main,79.758,54.483826
Seomjin,main,79.600,54.440548
Seomjin,main,79.400,54.395599
Seomjin,main,79.200,54.344650
Seomjin,main,79.000,54.294037
Seomjin,main,78.800,54.194820
Seomjin,main,78.600,54.077042
Seomjin,main,78.400,53.992382
Seomjin,main,78.200,53.955299
Seomjin,main,78.000,53.963985
Seomjin,main,77.800,53.972626
Seomjin,main,77.700,53.962509
Seomjin,main,77.670,53.993675
Seomjin,main,77.613,53.879646
Seomjin,main,77.400,53.693047
Seomjin,main,77.200,53.539604
Seomjin,main,77.000,53.317360
Seomjin,main,76.800,53.033813
Seomjin,main,76.600,52.823002
Seomjin,main,76.400,52.754333
Seomjin,main,76.200,52.666275
Seomjin,main,76.000,52.535744
Seomjin,main,75.800,52.388695
Seomjin,main,75.753,52.300957
Seomjin,main,75.600,52.267113
Seomjin,main,75.400,52.207077
Seomjin,main,75.200,52.145332
Seomjin,main,75.000,52.133301
Seomjin,main,74.956,52.126022
Seomjin,main,74.800,52.097420
Seomjin,main,74.600,52.041817
Seomjin,main,74.400,51.970917
Seomjin,main,74.200,51.902393
Seomjin,main,74.000,51.850506
Seomjin,main,73.800,51.823990
Seomjin,main,73.600,51.805660
Seomjin,main,73.416,51.775604
Seomjin,main,73.364,51.739777
Seomjin,main,73.200,51.694641
Seomjin,main,73.000,51.644173
Seomjin,main,72.800,51.596424
Seomjin,main,72.600,51.530815
Seomjin,main,72.400,51.459625
Seomjin,main,72.200,51.320229
Seomjin,main,71.964,51.003609
Seomjin,main,71.800,50.674126
Seomjin,main,71.600,50.463036
Seomjin,main,71.400,50.202812
Seomjin,main,71.200,49.831070
Seomjin,main,71.000,49.546612
Seomjin,main,70.800,49.407921
Seomjin,main,70.600,49.260422
Seomjin,main,70.400,49.177727
Seomjin,main,70.200,49.060684
Seomjin,main,70.000,48.654366
Seomjin,main,69.800,48.386162
Seomjin,main,69.667,48.350353
Seomjin,main,69.600,48.257347
Seomjin,main,69.400,48.097847
Seomjin,main,69.200,47.782902
Seomjin,main,69.000,47.297951
Seomjin,main,68.800,46.850555
Seomjin,main,68.600,46.699108
Seomjin,main,68.400,46.772064
Seomjin,main,68.200,46.774952
Seomjin,main,68.000,46.565022
Seomjin,main,67.800,46.270020
Seomjin,main,67.600,46.100647
Seomjin,main,67.432,46.094109
Seomjin,main,67.200,46.017414
Seomjin,main,67.152,45.846954
Seomjin,main,67.000,45.714455
Seomjin,main,66.800,45.548042
Seomjin,main,66.600,45.446304
Seomjin,main,66.421,45.397831
Seomjin,main,66.336,45.212601
Seomjin,main,66.200,44.955963
Seomjin,main,66.000,44.588058
Seomjin,main,65.800,44.335243
Seomjin,main,65.600,44.241600
